area_name,date_cet,market,price_value
FR,2026-03-01,DayAhead,18.315520833333334
FR,2026-03-02,DayAhead,29.297291666666666
FR,2026-03-03,DayAhead,59.31854166666667
FR,2026-03-04,DayAhead,75.06010416666668
FR,2026-03-05,DayAhead,83.24875
FR,2026-03-06,DayAhead,72.43302083333333
FR,2026-03-07,DayAhead,62.03875
FR,2026-03-08,DayAhead,77.07656250000001
FR,2026-03-09,DayAhead,120.66229166666666
FR,2026-03-01,IDA1,18.075416666666666
FR,2026-03-02,IDA1,29.643333333333334
FR,2026-03-03,IDA1,66.52
FR,2026-03-04,IDA1,79.60302083333333
FR,2026-03-05,IDA1,79.12770833333333
FR,2026-03-06,IDA1,77.08302083333334
FR,2026-03-07,IDA1,64.86604166666667
FR,2026-03-08,IDA1,75.47885416666666
FR,2026-03-09,IDA1,121.34781249999999
FR,2026-03-01,IDA2,14.412395833333333
FR,2026-03-02,IDA2,34.02645833333333
FR,2026-03-03,IDA2,67.784375
FR,2026-03-04,IDA2,89.59291666666667
FR,2026-03-05,IDA2,79.315625
FR,2026-03-06,IDA2,84.1128125
FR,2026-03-07,IDA2,73.81927083333333
FR,2026-03-08,IDA2,79.90010416666667
FR,2026-03-09,IDA2,125.8125
FR,2026-03-01,IDA3,20.137708333333332
FR,2026-03-02,IDA3,53.01958333333334
FR,2026-03-03,IDA3,73.45208333333333
FR,2026-03-04,IDA3,66.20541666666666
FR,2026-03-05,IDA3,65.10145833333333
FR,2026-03-06,IDA3,97.498125
FR,2026-03-07,IDA3,69.04458333333334
FR,2026-03-08,IDA3,76.73229166666667
FR,2026-03-09,IDA3,128.97208333333333
FR,2026-03-01,IntradayVWAP,14.421354166666667
FR,2026-03-02,IntradayVWAP,39.3834375
FR,2026-03-03,IntradayVWAP,86.77999999999999
FR,2026-03-04,IntradayVWAP,76.16520833333333
FR,2026-03-05,IntradayVWAP,79.08604166666667
FR,2026-03-06,IntradayVWAP,107.96041666666667
FR,2026-03-07,IntradayVWAP,86.93447916666668
FR,2026-03-08,IntradayVWAP,73.83583333333333
FR,2026-03-09,IntradayVWAP,120.61874999999999
GER,2026-03-01,DayAhead,52.93427083333333
GER,2026-03-02,DayAhead,92.86500000000001
GER,2026-03-03,DayAhead,106.52447916666667
GER,2026-03-04,DayAhead,147.3996875
GER,2026-03-05,DayAhead,110.85510416666666
GER,2026-03-06,DayAhead,123.79895833333335
GER,2026-03-07,DayAhead,110.1634375
GER,2026-03-08,DayAhead,103.13
GER,2026-03-09,DayAhead,135.78739583333333
GER,2026-03-01,IDA1,53.14208333333334
GER,2026-03-02,IDA1,91.45770833333334
GER,2026-03-03,IDA1,109.8775
GER,2026-03-04,IDA1,142.4121875
GER,2026-03-05,IDA1,106.49479166666667
GER,2026-03-06,IDA1,121.72510416666667
GER,2026-03-07,IDA1,110.2728125
GER,2026-03-08,IDA1,99.30447916666667
GER,2026-03-09,IDA1,136.53625
GER,2026-03-01,IDA2,53.24395833333333
GER,2026-03-02,IDA2,86.75
GER,2026-03-03,IDA2,110.76083333333334
GER,2026-03-04,IDA2,123.67166666666667
GER,2026-03-05,IDA2,98.30260416666665
GER,2026-03-06,IDA2,119.58635416666668
GER,2026-03-07,IDA2,108.58729166666666
GER,2026-03-08,IDA2,98.73114583333334
GER,2026-03-09,IDA2,133.92020833333333
GER,2026-03-01,IDA3,61.56479166666667
GER,2026-03-02,IDA3,95.8975
GER,2026-03-03,IDA3,124.02729166666667
GER,2026-03-04,IDA3,118.72145833333333
GER,2026-03-05,IDA3,101.498125
GER,2026-03-06,IDA3,120.22270833333333
GER,2026-03-07,IDA3,104.89916666666666
GER,2026-03-08,IDA3,93.158125
GER,2026-03-09,IDA3,152.98916666666665
GER,2026-03-01,IntradayVWAP,47.456250000000004
GER,2026-03-02,IntradayVWAP,83.31989583333333
GER,2026-03-03,IntradayVWAP,111.248125
GER,2026-03-04,IntradayVWAP,108.36520833333333
GER,2026-03-05,IntradayVWAP,101.57437499999999
GER,2026-03-06,IntradayVWAP,124.36562500000001
GER,2026-03-07,IntradayVWAP,115.48895833333334
GER,2026-03-08,IntradayVWAP,96.92875
GER,2026-03-09,IntradayVWAP,137.47583333333333
